"","Mod","Domain","Dimen","Sample","C_Smoothness","C_Range","Neighbors","Seed_off","MSE_Laplace","MSE_VL","MSE_VL_z","MSE_LowRank","LS_Laplace","LS_VL","LS_VL_z","LS_LowRank","Time_Laplace","Time_VL","Time_VL_z","Time_LowRank","Iter_Laplace","Iter_VL","Iter_VL_z","Iter_LowRank"
"220",2,10,2,8100,0.5,0.3,10,466107,0.5223968,0.5461857,0.5492601,0.8245432,-7090.457,-7695.385,-7254.848,-10721.96,61.52352,1.133781,1.229522,0.9175451,5,6,6,5
"221",3,10,2,8100,0.5,0.3,10,646717,0.2880505,0.300948,0.2963464,0.4627601,-5560.625,-5895.269,-5619.007,-8104.747,138.3798,2.232679,3.210257,2.850539,16,15,16,16
"222",4,10,2,8100,0.5,0.3,10,765923,0.242321,0.2529572,0.2455521,0.3849761,-5146.005,-5408.993,-5192.553,-7557.478,89.90309,1.377415,1.705326,1.450242,9,9,9,9
"223",2,10,2,16900,0.5,0.3,10,814570,0.4286246,0.4711865,0.4919791,0.8356656,-12075.99,-13553.61,-12689.56,-22800.51,298.2542,2.039522,2.545617,1.568241,5,6,6,5
"224",3,10,2,16900,0.5,0.3,10,116525,0.2400906,0.2551754,0.2486696,0.434444,-9470.206,-10329.65,-9655.192,-16549.23,527.4649,3.141327,4.218674,3.690313,11,11,11,12
"225",4,10,2,16900,0.5,0.3,10,355097,0.1927035,0.2057745,0.1967499,0.3901364,-8539.684,-9348.213,-8682.172,-15931.83,438.2617,3.044481,3.841712,2.516488,9,9,9,9
"226",2,10,2,256,0.5,0.3,10,391579,0.7601849,0.7627026,0.760515,0.7797775,-325.0516,-327.2761,-325.0276,-331.3902,0.09589171,0.05813384,0.05162263,0.03617454,4,4,4,4
"227",3,10,2,256,0.5,0.3,10,95427,0.4514434,0.4520405,0.4514364,0.4474204,-250.1639,-250.3436,-250.1831,-249.8181,0.1195748,0.08553576,0.08662796,0.05088258,6,6,6,6
"228",4,10,2,256,0.5,0.3,10,649025,0.3682527,0.3693156,0.3682174,0.3566399,-220.4821,-221.7674,-220.478,-218.4098,0.1311548,0.1007912,0.09718895,0.06414843,8,8,8,8
"229",2,10,2,625,0.5,0.3,10,636295,0.7578316,0.7635824,0.7580086,0.7713426,-781.3733,-791.5809,-781.282,-803.5177,0.3781033,0.07483602,0.09313393,0.06314278,4,4,4,4
