"Smooth","Range","Laplace","MC","Exact","Vecchia-5","Vecchia-10","Vecchia-20","LR-5","LR-10","LR-20"
0.2,0.37,-934.330682986375,NA,NA,-932.654897647992,-932.897521880552,-933.175800582061,-968.255949109204,-959.724196753401,-947.667438536892
0.2,0.41,-935.062247633333,NA,NA,-938.895148129514,-934.341374949865,-934.207571563572,-968.526088441891,-962.827142115573,-954.519940440057
0.2,0.45,-935.783845319672,NA,NA,-940.72146602848,-935.844829313716,-935.447793978132,-957.296334846623,-965.169991478689,-951.591622042542
0.2,0.49,-936.491839149604,NA,NA,-937.906018947413,-936.152518303287,-936.481557837308,-961.703219371244,-972.817200714029,-961.153428974776
0.2,0.53,-937.184358098804,NA,NA,-937.620218771278,-939.120968844769,-936.934177590796,-962.782078153577,-960.965752338521,-952.486011385696
0.2,0.57,-937.860551092474,NA,NA,-937.715547088456,-936.318944170659,-937.0042315872,-961.272119298917,-958.455637131782,-957.37030213971
0.2,0.61,-938.520170577408,NA,NA,-937.756598647886,-935.888830614252,-938.929720482759,-964.272799921503,-961.796185253458,-960.023719651166
0.2,0.65,-939.163330249324,NA,NA,-935.507166487841,-938.282547488936,-938.722545903976,-967.324919473924,-957.698654771867,-962.969960244267
0.2,0.69,-939.790359462553,NA,NA,-937.071183237606,-940.022283202448,-938.570738728294,-966.608303559025,-964.837535748378,-955.528901138684
0.2,0.73,-940.401713538998,NA,NA,-938.528900572026,-940.710828031782,-939.152794008535,-969.195834706513,-968.390654756643,-961.535017729804
0.25,0.01,-969.008511102943,NA,NA,-969.048838640202,-969.011127847441,-969.009040375854,-969.862011940916,-969.843761106176,-969.75661233786
0.25,0.05,-938.665111157569,NA,NA,-943.784810260008,-940.59069706779,-939.19835787864,-969.596452664357,-967.010866431815,-961.533453471763
0.25,0.09,-931.392954567086,NA,NA,-935.940538203325,-933.000182204734,-931.484820259422,-965.538932638472,-968.963266926971,-951.990834552597
0.25,0.13,-930.568740554837,NA,NA,-932.962710137493,-932.106882027668,-930.494558817014,-965.407846200294,-965.533564061987,-960.637818426136
0.25,0.17,-931.212823485804,NA,NA,-933.782167146824,-932.672741365905,-931.451347227815,-969.175852064799,-956.599024623432,-959.828835731543
0.25,0.21,-932.300247242839,NA,NA,-933.376441911918,-933.781466849743,-931.470261637037,-950.474514080238,-947.938703186986,-950.390106318208
0.25,0.25,-933.536271205413,NA,NA,-934.987117474473,-935.149598628912,-932.768884603219,-957.152254730904,-958.124478735331,-945.196817571657
