Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
4,1,1,2500,0.5,0.05,20,588850,0.04117768,0.04117768,0.04394784,0.194575,1866.522,1866.522,1853.467,-1355.456,15.43679,0.9043887,1.170766,1.043856,8,7,8,8
1,1,1,2500,1.5,0.05,20,520473,0.002337413,0.002337413,0.04130333,0.02055779,13593.6,13593.6,13499.1,1744.454,6.570681,3.106991,3.253576,2.041605,2,2,2,2
2,1,1,2500,1.5,0.05,20,383676,0.04133672,0.04133672,0.6443955,0.08566149,13457.68,13457.69,13428.05,1286.339,13.86562,7.809889,6.332359,5.121864,5,5,4,5
3,1,1,2500,1.5,0.05,20,958358,0.02315381,0.02315381,0.5270118,0.04399656,13453.91,13453.91,13413.25,1674.922,18.89954,11.63583,9.181921,7.130544,8,8,6,7
4,1,1,2500,1.5,0.05,20,430583,0.007152212,0.007152212,0.1610076,0.03878972,13493.38,13493.38,13431.66,1623.682,16.56194,11.72861,10.41872,9.552587,8,8,7,8
1,1,1,2500,0.5,0.05,40,824048,0.01838723,0.01838723,0.01838754,0.05103562,2177.157,2177.157,2177.148,95.09857,10.16296,0.6966219,0.9531865,0.6923635,2,2,2,2
2,1,1,2500,0.5,0.05,40,379492,0.1197066,0.1197066,0.1452861,0.1592839,1747.629,1747.629,1739.065,-1033.528,11.66167,1.774656,2.233019,1.963261,5,5,6,5
3,1,1,2500,0.5,0.05,40,577466,0.07449505,0.07449505,0.08085605,0.121821,1742.39,1742.39,1740.48,-756.7272,19.38239,3.710861,3.69081,2.836944,9,9,9,8
4,1,1,2500,0.5,0.05,40,10862,0.05085967,0.05085967,0.05137052,0.1384753,1888.494,1888.494,1886.639,-1131.653,16.00041,2.617837,3.159495,2.357755,8,7,8,7
1,1,1,2500,1.5,0.05,40,529400,0.002234986,0.002234986,0.003867532,0.003742859,13596.94,13596.94,13543.93,4380.371,8.040481,9.162433,10.87795,7.501678,2,2,2,2
2,1,1,2500,1.5,0.05,40,659002,0.04257292,0.04257292,0.3092966,0.04326511,13492.37,13492.37,13473.92,3791.288,10.35093,23.43996,18.72874,16.87111,5,5,4,5
3,1,1,2500,1.5,0.05,40,252808,0.01380973,0.01380973,0.221563,0.0161152,13473.76,13473.76,13427.36,4206.741,19.82097,40.54796,35.77062,28.61821,8,8,7,8
4,1,1,2500,1.5,0.05,40,713258,0.008561419,0.008561419,0.0623421,0.01005085,13525.69,13525.7,13480.58,3931.132,22.71224,40.9544,44.9162,29.44921,8,8,8,8
1,1,1,2500,0.5,0.05,60,87947,0.02062248,0.02062248,0.02062248,0.04926512,2122.695,2122.695,2122.695,58.57951,9.735229,1.294501,1.584138,1.47214,2,2,2,2
2,1,1,2500,0.5,0.05,60,187165,0.1432864,0.1432864,0.1538913,0.1661549,1744.845,1744.845,1740.18,-649.7197,15.36559,3.778265,4.549969,4.059831,5,5,6,5
3,1,1,2500,0.5,0.05,60,885049,0.09033618,0.09033618,0.09822755,0.1101542,1710.996,1710.996,1706.169,-482.5559,16.98271,4.260008,5.172166,5.842814,8,7,8,7
4,1,1,2500,0.5,0.05,60,207110,0.04361355,0.04361355,0.04354827,0.08553846,1857.973,1857.973,1858.22,-506.7197,15.66311,5.890485,5.615598,6.086976,9,8,8,8
1,1,1,2500,1.5,0.05,60,72002,0.002635299,0.002635299,0.002847718,0.002926364,13525.45,13525.45,13518.33,5888.726,7.238657,18.46193,20.01892,14.06853,2,2,2,2
2,1,1,2500,1.5,0.05,60,805310,0.03880959,0.03880959,0.1519729,0.03904678,13489.76,13489.76,13468.42,5443.546,9.086765,50.67768,51.05126,36.71938,5,5,5,5
3,1,1,2500,1.5,0.05,60,216347,0.02065957,0.02065957,0.1541349,0.02086106,13458.8,13458.8,13432.35,5683.335,10.80672,81.40287,73.73084,60.21995,8,8,7,8
4,1,1,2500,1.5,0.05,60,535128,0.008281862,0.008281862,0.01868259,0.008364074,13512.07,13512.07,13479.22,5528.348,17.66446,77.45344,84.35876,59.6837,8,8,8,8
