"seed","m","method","Range","Smoothness"
668775,40,"VL",0.0423581194458371,0.471413283011671
403202,40,"VL",0.0404570969074067,0.445708687512004
73346,40,"VL",0.0284387894309904,1.16964290929099
587647,5,"VL",0.35831981523348,0.0955289154062743
577480,5,"VL",0.0583263069467347,0.478055619204866
850390,5,"VL",0.13863670990765,0.233110518995385
199432,5,"VL",0.0225874772175995,1.60104224718726
775509,5,"VL",0.0994522680716647,0.290068685878006
406613,5,"VL",0.0958586781585699,0.206425738132309
356214,5,"VL",329451.11316303,0.0158042152730282
755813,5,"VL",0.193045281940431,0.139921964337418
16598,5,"VL",0.0594920984002662,0.453665721377319
553229,5,"VL",0.496094075277383,0.124161132810652
676192,5,"VL",0.0855429985213544,0.273091290527749
391059,5,"VL",0.0292213156570404,1.22172707719983
998840,5,"VL",0.21164555374835,0.123142302136616
268157,5,"VL",0.163408880695439,0.15228711654614
185134,5,"VL",0.117802911956581,0.199170531849747
956514,5,"VL",0.120220624525981,0.188229321188927
695501,5,"VL",1.87781153663941e+35,0.00325521182077811
815151,5,"VL",2.51505904324469,0.0493808082107037
714716,5,"VL",0.0352575560424971,0.39317428505709
562213,5,"VL",0.661603688038998,0.0788312567218148
563596,5,"VL",1.33126533947726,0.0598994860774693
993006,5,"VL",0.020490904552063,1.60202103012996
262438,5,"VL",0.113840335421784,0.254309129103942
37223,5,"VL",0.0798464653967551,0.212873777121702
995352,5,"VL",0.0551596063385246,0.449221846103916
761664,5,"VL",0.0779509697467253,0.390251177645874
162484,5,"VL",0.0667805078394775,0.400178012920399
746539,5,"VL",0.408534788195266,0.110515487542086
736777,5,"VL",0.0585096963989943,0.415489894153359
336389,5,"VL",0.063382078904904,0.409678394512771
70387,5,"VL",0.08297184858146,0.312760546145255
772144,5,"VL",0.0671702140363987,0.392655622740549
237830,5,"VL",0.0507101680518973,0.495258999928935
572765,5,"VL",0.0488258323186629,0.653881510056791
937743,5,"VL",0.0632048035616154,0.400018443889268
2819,5,"VL",0.0529436882950651,0.41344290846062
521057,5,"VL",0.0866120233224858,0.32087614854949
114137,5,"VL",0.0764466177519556,0.456426907747258
480861,5,"VL",862002898222838,0.00734742079058652
341303,5,"VL",0.139139822516008,0.234628132586073
724273,5,"VL",11.5001459778987,0.0472765631315747
948383,5,"VL",0.0479344357008268,0.397523596150454
380576,5,"VL",1.90972294907156,0.0647198255925014
139611,5,"VL",0.096761631624366,0.384548019527631
312930,5,"VL",0.0293180871191746,0.833460040931501
102571,5,"VL",0.0652056723311831,0.307572908339066
813845,5,"VL",0.169582031700546,0.14646990635974
488836,5,"VL",0.0773281422426149,0.304757282561021
359810,5,"VL",0.0547956351573057,0.572826561335036
360557,5,"VL",0.199938374775212,0.180314434386209
684887,5,"VL",0.178209641957971,0.180041362036065
974602,5,"VL",0.108936194184047,0.230103129396615
733611,5,"VL",0.0758748957136989,0.382445882898768
973188,5,"VL",0.0802025021165708,0.238838360825716
443300,5,"VL",0.0779380703549343,0.371120364573574
494890,5,"VL",0.107555363546022,0.201267959897311
792135,5,"VL",0.0795255786447926,0.2827441358959
870,5,"VL",0.0325162143433348,0.821009411329696
526409,5,"VL",0.0901354866831161,0.36906272026543
975640,5,"VL",0.0354206447607593,0.776921819454703
928863,5,"VL",0.0321501419066449,0.700176570565887
73464,5,"VL",0.0685069203096127,0.311210690954148
154504,5,"VL",0.0337461101416799,0.570639110881086
383222,5,"VL",9.48104834580545,0.0412568851051271
434321,5,"VL",1660.88563508788,0.0214196871316362
664960,5,"VL",0.0396199356932467,0.431599402234422
51684,5,"VL",0.881424310233742,0.0607176246998748
56210,5,"VL",0.909253877331219,0.0657183379277994
650154,5,"VL",0.116402527622948,0.200913498655294
111905,5,"VL",0.146646795247291,0.21929672422609
283456,5,"VL",0.0435531922384276,0.713356671812225
518835,5,"VL",1340.26771948884,0.0302631159003269
436138,5,"VL",0.0839475582383458,0.286496735595122
284868,5,"VL",0.0352504625219129,0.871518041996553
286666,5,"VL",0.0519314442234515,0.414935090793488
114130,5,"VL",0.0569102575058907,0.395228520421015
284817,5,"VL",0.195807521516091,0.138022243080011
99118,5,"VL",0.181470688899781,0.217950599973531
208666,5,"VL",1.10015090693877,0.0795042401744122
29107,5,"VL",0.980909009402444,0.0625154394433126
452154,5,"VL",0.0707937939317596,0.365078724330645
321014,5,"VL",0.163081671177552,0.227952652344218
685626,5,"VL",0.0567637054150384,0.428863091045111
449129,5,"VL",0.212913490019467,0.174963774465496
165350,5,"VL",0.0946609587669891,0.306122501950509
