Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
2,10,1,250,0.5,0.05,10,150791,0.7056485,0.7056485,0.705811,0.7763242,-298.3216,-298.3216,-271.6336,-323.9339,0.07904625,0.04408312,0.1808276,0.03519654,4,4,4,4
3,10,1,250,0.5,0.05,10,922284,0.5033719,0.5033719,0.5033505,0.5636919,-250.7839,-250.7839,-161.8361,-273.9294,0.1075833,0.05666924,0.07859182,0.06045413,6,6,6,6
4,10,1,250,0.5,0.05,10,133716,0.2789249,0.2789249,0.2789239,0.3127565,-186.6679,-186.6679,-53.24767,-208.7293,0.1416166,0.07510924,0.09587646,0.07904768,9,8,8,8
2,10,1,500,0.5,0.05,10,504511,0.667777,0.667777,0.6701243,0.7305026,-505.2598,-505.2598,-452.9274,-617.0021,0.2217278,0.06287622,0.0920701,0.0548234,4,4,5,4
3,10,1,500,0.5,0.05,10,494819,0.3831774,0.3831774,0.3829796,0.5309802,-409.7833,-409.7833,-213.8217,-531.1741,0.3560071,0.09187627,0.1244414,0.1061101,8,7,7,8
4,10,1,500,0.5,0.05,10,85071,0.2441246,0.2441246,0.244163,0.3179921,-332.5884,-332.5884,-75.93038,-417.9108,0.3408806,0.1026652,0.1445651,0.1026468,8,8,8,8
2,10,1,1000,0.5,0.05,10,185059,0.6329191,0.6329191,0.6527818,0.9134041,-808.7572,-808.7572,-708.5412,-1360.058,0.857024,0.1034927,0.1451373,0.07799292,5,5,5,4
3,10,1,1000,0.5,0.05,10,620205,0.2929084,0.2929084,0.2975277,0.5107181,-593.5215,-593.5215,-207.2571,-1043.703,1.267471,0.1793644,0.2586083,0.2241082,9,9,9,11
4,10,1,1000,0.5,0.05,10,955004,0.215277,0.215277,0.2152722,0.3770436,-552.6378,-552.6378,-38.28122,-937.9712,1.371419,0.1939042,0.2356582,0.1820483,9,9,9,9
2,10,1,2000,0.5,0.05,10,56306,0.430377,0.430377,0.466447,0.7876722,-996.068,-996.068,-804.9686,-2586.817,3.490917,0.1860857,0.242753,0.2273762,5,5,5,5
3,10,1,2000,0.5,0.05,10,340308,0.2063453,0.2063453,0.2093975,0.4042147,-626.0811,-626.0811,292.4806,-1851,5.035475,0.3200552,0.399662,0.3914659,9,9,9,11
4,10,1,2000,0.5,0.05,10,297016,0.1700833,0.1700833,0.1718467,0.3968957,-627.2686,-627.2686,403.7752,-1897.805,4.545461,0.2793877,0.4155595,0.2648342,8,8,9,8
2,10,1,4000,0.5,0.05,10,408931,0.323225,0.323225,0.3707957,0.686642,-727.0579,-727.0579,-347.1317,-4942.385,15.56578,0.3257146,0.4278283,0.327549,5,5,5,5
3,10,1,4000,0.5,0.05,10,55789,0.1614645,0.1614645,0.1743138,0.4269027,-287.7974,-287.7974,1467.732,-3883.913,20.55808,0.5529764,1.058803,0.6286068,9,9,9,10
4,10,1,4000,0.5,0.05,10,570989,0.1131067,0.1131067,0.1148911,0.3785844,-211.5115,-211.5115,1822.188,-3692.086,19.09729,0.5049725,0.7735481,0.5101616,8,8,9,8
2,10,1,8000,0.5,0.05,10,464420,0.2567975,0.2567975,0.3724468,0.782123,1048.736,1048.736,1753.676,-10300.24,60.61533,0.6755264,0.8846176,0.6817055,5,5,5,5
3,10,1,8000,0.5,0.05,10,971077,0.132349,0.132349,0.1696134,0.4859862,1551.461,1551.461,4513.084,-8291.726,84.61062,1.032352,1.41451,1.24899,8,8,8,9
4,10,1,8000,0.5,0.05,10,879651,0.08259369,0.08259369,0.08754278,0.3697825,1835.987,1835.987,5831.283,-7202.962,84.28882,0.9469035,1.547934,1.215881,8,8,9,8
2,10,1,16000,0.5,0.05,10,128601,0.1759548,0.1759548,0.3343332,0.7935315,7343.034,7343.034,8770.257,-20668.05,339.8732,1.233416,1.858138,1.547004,5,5,5,5
3,10,1,16000,0.5,0.05,10,215915,0.08366669,0.08366669,0.1224613,0.4121461,8409.418,8409.418,14869.63,-15265.32,557.2515,2.680584,4.126205,3.300025,11,11,11,10
4,10,1,16000,0.5,0.05,10,978533,0.05617043,0.05617043,0.06712665,0.3798463,8566.978,8566.978,16371.09,-14662.6,511.7483,2.22453,3.100246,2.47752,10,9,9,9
2,10,1,250,0.5,0.05,10,561576,0.8767399,0.8767399,0.8767518,0.9443878,-320.8737,-320.8737,-294.0122,-349.727,0.08962512,0.04554486,0.07046866,0.0429225,4,4,4,4
3,10,1,250,0.5,0.05,10,968559,0.4759712,0.4759712,0.4759865,0.519394,-248.2301,-248.2301,-146.9634,-266.0187,0.2416162,0.09941339,0.1318913,0.1223762,10,10,10,11
4,10,1,250,0.5,0.05,10,465486,0.3017546,0.3017546,0.3017558,0.3277997,-200.4593,-200.4593,-72.85916,-213.8904,0.1231701,0.07576513,0.11131,0.07200241,8,7,7,7
